,ID,DOI,complete,csv_post_title,crossref_API_out
1601,839,10.4137/BMI.S16553,"Patel S, Murphy D, Haralambieva E, Abdulla ZA, Wong KK, Chen H, Gould E, Roncador G, Hatton C, Anderson AP, Banham AH, Pulford K. Increased expression of phosphorylated FADD in anaplastic large cell and other T-cell lymphomas.   Jan;3(9):77-84. doi 10.4137/BMI.S16553.",Increased expression of phosphorylated FADD in anaplastic large cell and other T-cell lymphomas,"{'title': ['Increased Expression of Phosphorylated FADD in Anaplastic Large Cell and Other T-Cell Lymphomas'], 'DOI': '10.4137/bmi.s16553'}"
1602,2411,10.1016/j.omtn.2016.12.006,"Patricio MI, Barnard AR, Orlans HO, McClements ME, MacLaren RE. Inclusion of the Woodchuck Hepatitis Virus Posttranscriptional Regulatory Element Enhances AAV2-Driven Transduction of Mouse and Human Retina. Mol Ther Nucleic Acids. 2017;6:198-208.",Inclusion of the Woodchuck Hepatitis Virus Posttranscriptional Regulatory Element Enhances AAV2-Driven Transduction of Mouse and Human Retina.,"{'title': ['Inclusion of the Woodchuck Hepatitis Virus Posttranscriptional Regulatory Element Enhances AAV2-Driven Transduction of Mouse and Human Retina'], 'DOI': '10.1016/j.omtn.2016.12.006'}"
1603,1503,,Pattinson K. Functional brain imaging in respiratory medicine.   Jun;70(6):598-600.,Functional brain imaging in respiratory medicine,"{'title': ['Functional brain imaging in respiratory medicine'], 'DOI': '10.1136/thoraxjnl-2014-206688'}"
1604,780,10.1093/bja/aet288,Pattinson KT. Functional magnetic resonance imaging in anaesthesia research.   Dec;111(6):872-6. Doi: 10.1093/bja/aet288.,Functional magnetic resonance imaging in anaesthesia research,"{'title': ['Functional magnetic resonance imaging study of external source memory and its relation to cognitive insight in non-clinical subjects'], 'DOI': '10.1111/pcn.12177'}"
1605,1133,,"Pattinson KTS, Johnson MJ. Neuroimaging of central breathlessness mechanisms.   Sep;8(3):225-33. PMID 25029392.",Neuroimaging of central breathlessness mechanisms,"{'title': ['Neuroimaging of central breathlessness mechanisms'], 'DOI': '10.1097/spc.0000000000000069'}"
1606,156,,"Paul NL, Simoni M, Chandratheva A, Rothwell PM. Population-based study of capsular warning syndrome and prognosis after early recurrent TIA.   Sep 25;79(13):1356-62.",Population-based study of capsular warning syndrome and prognosis after early recurrent TIA,"{'title': ['Population-Based Study of Capsular Warning Syndrome and Prognosis After Early Recurrent TIA'], 'DOI': '10.1016/j.jvs.2012.11.047'}"
1607,280,,"Paul NL, Simoni M, Rothwell PM. Transient isolated brainstem symptoms preceding posterior circulation stroke: a population-based study.   Jan;12(1):65-71.",Transient isolated brainstem symptoms preceding posterior circulation stroke: a population-based study,"{'title': ['Transient isolated brainstem symptoms preceding posterior circulation stroke: a population-based study'], 'DOI': '10.1016/s1474-4422(12)70299-5'}"
1608,1761,10.1016/j.jhep.2015.10.009,"Pavlides M, Banerjee R, Sellwood J, Kelly CJ, Robson MD, Booth JC et al. Multiparametric magnetic resonance imaging predicts clinical outcomes in patients with chronic liver disease.   Feb;64(2):308-15.  doi: 10.1016/j.jhep.2015.10.009. Epub 2015 Nov 10..",Multiparametric magnetic resonance imaging predicts clinical outcomes in patients with chronic liver disease,"{'title': ['Multiparametric magnetic resonance imaging predicts clinical outcomes in patients with chronic liver disease'], 'DOI': '10.1016/j.jhep.2015.10.009'}"
1609,2287,10.1111/liv.13284,"Pavlides M, Banerjee R, Tunnicliffe EM, Kelly C, Collier J, Wang LM et al. Multi-parametric magnetic resonance imaging for the assessment of non-alcoholic fatty liver disease severity.   Oct 25. doi: 10.1111/liv.13284. [Epub ahead of print].",Multi-parametric magnetic resonance imaging for the assessment of non-alcoholic fatty liver disease severity,"{'title': ['Non-alcoholic fatty liver disease'], 'DOI': '10.1111/j.1753-0407.2012.00204.x'}"
1610,183,,"Payeli SK, Kollnberger S, Belaunzaran OM, Thiel M, McHugh K, Giles J, Shaw J, Kleber S, Ridley A, Wong-Baeza I, Keidel S, Kuroki K, Maenaka K, Wadle A, Renner C, Bowness P. Inhibiting HLA-B27 homodiner-driven immune cell inflammation in spondylarthritis.   Oct.",Inhibiting HLA-B27 homodiner-driven immune cell inflammation in spondylarthritis,"{'title': ['Inhibiting HLA-B27 homodimer-driven immune cell inflammation in spondylarthritis'], 'DOI': '10.1002/art.34538'}"
1611,1094,,"Payne MJ, Argyropoulou K, Lorigan P, McAleer JJ, Farrugia D, Davidson N et al. Phase II pilot study of intravenous high-dose interferon with or without maintenance treatment in melanoma at high risk of recurrence.   Aug;32:185-190.",Phase II pilot study of intravenous high-dose interferon with or without maintenance treatment in melanoma at high risk of recurrence,"{'title': ['Phase II Pilot Study of Intravenous High-Dose Interferon With or Without Maintenance Treatment in Melanoma at High Risk of Recurrence'], 'DOI': '10.1200/jco.2013.49.8717'}"
1612,1277,10.1073/pnas.1413339111,"Payne R, Muenchhoff M, Mann J, Roberts HE, Matthews P, Adland E, Hempenstall A, Huang KH, Brockman M, Brumme Z, Sinclair M, Miura T, Frater J, Essex M, Shapiro R, Walker BD, Ndung'u T, McClean AR, Carlson JM, Goulder PJ. Impact of HLA-driven HIV adaptation on virulence in populations of high HIV seroprevalence.   Dec 16;111(50). E5393-400. doi: 10.1073/pnas.1413339111. Epub 2014 Dec 1.",Impact of HLA-driven HIV adaptation on virulence in populations of high HIV seroprevalence,"{'title': ['Impact of HLA-driven HIV adaptation on virulence in populations of high HIV seroprevalence'], 'DOI': '10.1073/pnas.1413339111'}"
1613,967,10.1128/JVI.03303-13,"Payne RP, Branch S, Kl̥̫verpris H, Matthews PC, Koofhethile CK, Strong T, Adland E, Leitman E, Frater J, Ndung'u T, Hunter E, Haubrich R, Mothe B, Edwards A, Riddell L, Chen F, Harrigan PR, Brumme ZL, Mallal S, John M, Jooste JP, Shapiro R, Deeks SG, Walker BD, Brander C, Landis C, Carlson JM, Prado JG, Goulder PJ. Differential escape patterns within the dominant HLA-B*57:03-restricted HIV Gag epitope reflect distinct clade-specific functional constraints.   May(88 Pt 9):4668-78. doi: 10.1128/JVI.03303-13. Epub 2014 Feb 5..",Differential escape patterns within the dominant HLA-B*57:03-restricted HIV Gag epitope reflect distinct clade-specific functional constraints,"{'title': ['Differential Escape Patterns within the Dominant HLA-B*57:03-Restricted HIV Gag Epitope Reflect Distinct Clade-Specific Functional Constraints'], 'DOI': '10.1128/jvi.03303-13'}"
1614,1960,10.1016/j.tics.2015.08.003,"Pearson J, Naselaris T, Holmes EA, Kosslyn SM. Mental Imagery: Functional Mechanisms and Clinical Applications.   Oct;19(10):590-602. doi: 10.1016/j.tics.2015.08.003..",Mental Imagery: Functional Mechanisms and Clinical Applications,"{'title': ['Mental Imagery: Functional Mechanisms and Clinical Applications'], 'DOI': '10.1016/j.tics.2015.08.003'}"
1615,2242,10.1002/hep.28533,"Pedergnana V, Smith D, STOP-HCV Consortium, Klenerman P, Barnes E, Spencer CC, Ansari MA. Interferon lambda 4 variant rs12979860 is not associated with RAV  NS5A Y93H in hepatitis C virus genotype 3a.   Oct;64(4):1377-8. 10.1002/hep.28533.",Interferon lambda 4 variant rs12979860 is not associated with RAV  NS5A Y93H in hepatitis C virus genotype 3a,"{'title': ['Interferon lambda 4 variant rs12979860 is not associated with RAV NS5A Y93H in hepatitis C virus genotype 3a'], 'DOI': '10.1002/hep.28533'}"
1616,1865,10.1111/bcp.12882,"Pedersen CM, Venkatasubramanian S, Vase H, Hyldebrandt JA, Contractor H, Schmidt MR et al. Rotigaptide protects the myocardium and arterial vasculature from Ischaemia reperfusion injury.   Jan. doi: 10.1111/bcp.12882. [Epub ahead of print].",Rotigaptide protects the myocardium and arterial vasculature from Ischaemia reperfusion injury,"{'title': ['Rotigaptide protects the myocardium and arterial vasculature from ischaemia reperfusion injury'], 'DOI': '10.1111/bcp.12882'}"
1617,309,,"Peffault de Latour R, Rocha V, Socie G. Cord blood transplantation in aplastic anemia.   Feb;48(2):201-2.",Cord blood transplantation in aplastic anemia,"{'title': ['Cord blood transplantation in Western Australia'], 'DOI': '10.1111/j.1445-5994.2011.02599.x'}"
1618,680,10.1200/jco.2012.45.5626,"Pellagatti A, Benner A, Mills KI, Cazzola M, Giagounidis A, Perry J et al. Identification of gene expression-based prognostic markers in the hematopoietic stem cells of patients with myelodysplastic syndromes.   Oct;31(28):3557-64.",Identification of gene expression-based prognostic markers in the hematopoietic stem cells of patients with myelodysplastic syndromes,"{'title': ['Myelodysplastic syndrome hematopoietic stem cell'], 'DOI': '10.1002/ijc.27896'}"
